date,symbol,title,country,impact,basis
2026-10-28,QCOM,Qualcomm Inc (QCOM) earnings (estimated),United States,medium,"Estimated from 31 historical quarterly filings, ~91-day cadence, last actual report 2026-07-29."
2026-10-28,SBUX,Starbucks Corp (SBUX) earnings (estimated),United States,medium,"Estimated from 40 historical quarterly filings, ~91-day cadence, last actual report 2026-07-29."
2026-10-29,AAPL,Apple Inc. (AAPL) earnings (estimated),United States,high,"Estimated from 42 historical quarterly filings, ~91-day cadence, last actual report 2026-07-30."
2026-10-29,AMZN,Amazon.com Inc (AMZN) earnings (estimated),United States,high,"Estimated from 23 historical quarterly filings, ~91-day cadence, last actual report 2026-07-30."
2026-10-29,PG,Procter & Gamble Co (PG) earnings (estimated),United States,medium,"Estimated from 16 historical quarterly filings, ~92-day cadence, last actual report 2026-07-29."
2026-10-29,MA,Mastercard Inc (MA) earnings (estimated),United States,medium,"Estimated from 29 historical quarterly filings, ~91-day cadence, last actual report 2026-07-30."
2026-10-30,XOM,Exxon Mobil Corp (XOM) earnings (estimated),United States,medium,"Estimated from 25 historical quarterly filings, ~91-day cadence, last actual report 2026-05-01."
2026-10-30,CVX,Chevron Corp (CVX) earnings (estimated),United States,medium,"Estimated from 27 historical quarterly filings, ~91-day cadence, last actual report 2026-07-31."
2026-11-03,MRK,Merck & Co Inc. (MRK) earnings (estimated),United States,medium,"Estimated from 32 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2026-11-03,AMD,Advanced Micro Devices Inc (AMD) earnings (estimated),United States,medium,"Estimated from 32 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2026-11-03,PFE,Pfizer Inc (PFE) earnings (estimated),United States,medium,"Estimated from 18 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2026-11-03,CAT,Caterpillar Inc (CAT) earnings (estimated),United States,medium,"Estimated from 27 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2026-11-03,MCD,McDonald's Corp (MCD) earnings (estimated),United States,medium,"Estimated from 35 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2026-11-04,DIS,Walt Disney Co (DIS) earnings (estimated),United States,medium,"Estimated from 26 historical quarterly filings, ~91-day cadence, last actual report 2026-08-05."
2026-11-04,UBER,Uber Technologies Inc (UBER) earnings (estimated),United States,medium,"Estimated from 23 historical quarterly filings, ~91-day cadence, last actual report 2026-08-05."
2026-11-11,CSCO,Cisco Systems Inc. (CSCO) earnings (estimated),United States,medium,"Estimated from 25 historical quarterly filings, ~91-day cadence, last actual report 2026-08-12."
2026-11-12,COST,Costco Wholesale Corp (COST) earnings (estimated),United States,medium,"Estimated from 26 historical quarterly filings, ~84-day cadence, last actual report 2026-05-28."
2026-11-17,HD,Home Depot Inc. (HD) earnings (estimated),United States,medium,"Estimated from 32 historical quarterly filings, ~91-day cadence, last actual report 2026-08-18."
2026-11-19,WMT,Walmart Inc. (WMT) earnings (estimated),United States,medium,"Estimated from 13 historical quarterly filings, ~91-day cadence, last actual report 2026-08-20."
2026-11-25,NVDA,Nvidia Corp (NVDA) earnings (estimated),United States,high,"Estimated from 24 historical quarterly filings, ~91-day cadence, last actual report 2026-08-26."
2026-11-25,CRM,Salesforce Inc. (CRM) earnings (estimated),United States,medium,"Estimated from 12 historical quarterly filings, ~91-day cadence, last actual report 2026-08-26."
2026-12-02,AVGO,Broadcom Inc. (AVGO) earnings (estimated),United States,medium,"Estimated from 33 historical quarterly filings, ~91-day cadence, last actual report 2026-09-02."
2026-12-10,ADBE,Adobe Inc. (ADBE) earnings (estimated),United States,medium,"Estimated from 31 historical quarterly filings, ~91-day cadence, last actual report 2026-06-11."
2026-12-22,PEP,PepsiCo Inc (PEP) earnings (estimated),United States,medium,"Estimated from 27 historical quarterly filings, ~83-day cadence, last actual report 2026-07-09."
2026-12-22,NKE,Nike Inc. (NKE) earnings (estimated),United States,medium,"Estimated from 42 historical quarterly filings, ~91-day cadence, last actual report 2026-06-23."
2027-01-06,GS,Goldman Sachs Group Inc (GS) earnings (estimated),United States,medium,"Estimated from 3 historical quarterly filings, ~88-day cadence, last actual report 2026-07-14."
2027-01-12,JPM,JPMorgan Chase & Co (JPM) earnings (estimated),United States,medium,"Estimated from 3 historical quarterly filings, ~91-day cadence, last actual report 2026-07-14."
2027-01-12,BAC,Bank of America Corp (BAC) earnings (estimated),United States,medium,"Estimated from 3 historical quarterly filings, ~91-day cadence, last actual report 2026-07-14."
2027-01-12,WFC,Wells Fargo & Co (WFC) earnings (estimated),United States,medium,"Estimated from 3 historical quarterly filings, ~91-day cadence, last actual report 2026-07-14."
2027-01-13,JNJ,Johnson & Johnson (JNJ) earnings (estimated),United States,medium,"Estimated from 30 historical quarterly filings, ~91-day cadence, last actual report 2026-07-15."
2027-01-14,UNH,UnitedHealth Group Inc (UNH) earnings (estimated),United States,medium,"Estimated from 21 historical quarterly filings, ~91-day cadence, last actual report 2026-07-16."
2027-01-14,NFLX,Netflix Inc (NFLX) earnings (estimated),United States,high,"Estimated from 12 historical quarterly filings, ~91-day cadence, last actual report 2026-07-16."
2027-01-20,GOOGL,Alphabet Inc. (GOOGL) earnings (estimated),United States,high,"Estimated from 12 historical quarterly filings, ~91-day cadence, last actual report 2026-07-22."
2027-01-20,TXN,Texas Instruments Inc (TXN) earnings (estimated),United States,medium,"Estimated from 37 historical quarterly filings, ~91-day cadence, last actual report 2026-07-22."
2027-01-20,T,AT&T Inc. (T) earnings (estimated),United States,medium,"Estimated from 16 historical quarterly filings, ~91-day cadence, last actual report 2026-07-22."
2027-01-21,INTC,Intel Corp (INTC) earnings (estimated),United States,medium,"Estimated from 29 historical quarterly filings, ~91-day cadence, last actual report 2026-07-23."
2027-01-22,VZ,Verizon Communications Inc (VZ) earnings (estimated),United States,medium,"Estimated from 10 historical quarterly filings, ~91-day cadence, last actual report 2026-07-24."
2027-01-26,V,Visa Inc. (V) earnings (estimated),United States,medium,"Estimated from 44 historical quarterly filings, ~91-day cadence, last actual report 2026-07-28."
2027-01-26,KO,Coca-Cola Co (KO) earnings (estimated),United States,medium,"Estimated from 20 historical quarterly filings, ~91-day cadence, last actual report 2026-07-28."
2027-01-26,PYPL,PayPal Holdings Inc. (PYPL) earnings (estimated),United States,medium,"Estimated from 32 historical quarterly filings, ~91-day cadence, last actual report 2026-07-28."
2027-01-26,BA,Boeing Co (BA) earnings (estimated),United States,medium,"Estimated from 28 historical quarterly filings, ~91-day cadence, last actual report 2026-07-28."
2027-01-27,MSFT,Microsoft Corp (MSFT) earnings (estimated),United States,high,"Estimated from 24 historical quarterly filings, ~91-day cadence, last actual report 2026-07-29."
2027-01-27,META,Meta Platforms Inc (META) earnings (estimated),United States,high,"Estimated from 8 historical quarterly filings, ~91-day cadence, last actual report 2026-07-29."
2027-01-27,QCOM,Qualcomm Inc (QCOM) earnings (estimated),United States,medium,"Estimated from 31 historical quarterly filings, ~91-day cadence, last actual report 2026-07-29."
2027-01-27,SBUX,Starbucks Corp (SBUX) earnings (estimated),United States,medium,"Estimated from 40 historical quarterly filings, ~91-day cadence, last actual report 2026-07-29."
2027-01-28,AAPL,Apple Inc. (AAPL) earnings (estimated),United States,high,"Estimated from 42 historical quarterly filings, ~91-day cadence, last actual report 2026-07-30."
2027-01-28,AMZN,Amazon.com Inc (AMZN) earnings (estimated),United States,high,"Estimated from 23 historical quarterly filings, ~91-day cadence, last actual report 2026-07-30."
2027-01-28,MA,Mastercard Inc (MA) earnings (estimated),United States,medium,"Estimated from 29 historical quarterly filings, ~91-day cadence, last actual report 2026-07-30."
2027-01-29,PG,Procter & Gamble Co (PG) earnings (estimated),United States,medium,"Estimated from 16 historical quarterly filings, ~92-day cadence, last actual report 2026-07-29."
2027-01-29,CVX,Chevron Corp (CVX) earnings (estimated),United States,medium,"Estimated from 27 historical quarterly filings, ~91-day cadence, last actual report 2026-07-31."
2027-02-02,MRK,Merck & Co Inc. (MRK) earnings (estimated),United States,medium,"Estimated from 32 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2027-02-02,AMD,Advanced Micro Devices Inc (AMD) earnings (estimated),United States,medium,"Estimated from 32 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2027-02-02,PFE,Pfizer Inc (PFE) earnings (estimated),United States,medium,"Estimated from 18 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2027-02-02,CAT,Caterpillar Inc (CAT) earnings (estimated),United States,medium,"Estimated from 27 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2027-02-02,MCD,McDonald's Corp (MCD) earnings (estimated),United States,medium,"Estimated from 35 historical quarterly filings, ~91-day cadence, last actual report 2026-08-04."
2027-02-03,DIS,Walt Disney Co (DIS) earnings (estimated),United States,medium,"Estimated from 26 historical quarterly filings, ~91-day cadence, last actual report 2026-08-05."
2027-02-03,UBER,Uber Technologies Inc (UBER) earnings (estimated),United States,medium,"Estimated from 23 historical quarterly filings, ~91-day cadence, last actual report 2026-08-05."
2027-02-10,CSCO,Cisco Systems Inc. (CSCO) earnings (estimated),United States,medium,"Estimated from 25 historical quarterly filings, ~91-day cadence, last actual report 2026-08-12."
2027-02-16,HD,Home Depot Inc. (HD) earnings (estimated),United States,medium,"Estimated from 32 historical quarterly filings, ~91-day cadence, last actual report 2026-08-18."
2027-02-18,WMT,Walmart Inc. (WMT) earnings (estimated),United States,medium,"Estimated from 13 historical quarterly filings, ~91-day cadence, last actual report 2026-08-20."
2027-02-24,NVDA,Nvidia Corp (NVDA) earnings (estimated),United States,high,"Estimated from 24 historical quarterly filings, ~91-day cadence, last actual report 2026-08-26."
2027-02-24,CRM,Salesforce Inc. (CRM) earnings (estimated),United States,medium,"Estimated from 12 historical quarterly filings, ~91-day cadence, last actual report 2026-08-26."
2027-03-03,AVGO,Broadcom Inc. (AVGO) earnings (estimated),United States,medium,"Estimated from 33 historical quarterly filings, ~91-day cadence, last actual report 2026-09-02."
